,acousticness,album,album_id,album_release,artist,danceability,energy,feature,key,loudness,tempo,track_id,track_name,valence
1,0.00597,Throw A Fit,2kGxRa3ut2AMvo1fdoUeuK,2018-07-27,Tinashe,0.888,0.586,No Feature,0,-6.745,150.051,7D8aQaRzoi9Qzz5yerVK5b,Throw A Fit,0.401
2,0.15,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.742,0.595,ScHoolboy Q,9,-7.51,101.013,3jVtllWS5CFFWLQng8sKsr,2 On (feat. ScHoolboy Q),0.431
3,0.571,Like I Used To,3agSXLYruoxkcf3U6zPTN4,2018-07-13,Tinashe,0.717,0.599,No Feature,11,-6.156,159.78,3fMKnwiByu9yfeD5ISn9Et,Like I Used To,0.385
4,0.196,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.748,0.658,Offset,7,-4.656,143.954,3doVAxeH3SgWtlRMqR4eLi,No Drama,0.448
7,0.678,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.566,0.669,Future,5,-5.772,102.582,17uivGWu6kfAvH6UgR7j4x,Faded Love,0.698
8,0.298,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.767,0.669,Ty Dolla $ign,1,-4.508,99.933,6XddLa3bdlJJQC6sImufdH,Me So Bad,0.72
11,0.386,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.798,0.532,No Feature,7,-4.329,96.992,1kXmApTm4wonqscYBoLwxj,All Hands on Deck,0.372
12,0.552,Company,734QluBStyfeKmcRgQUDO7,2016-09-16,Tinashe,0.897,0.498,No Feature,9,-5.0,119.991,1608cOZINzEjaREvqEaDBd,Company,0.96
14,0.493,All Hands On Deck REMIX,4lP8vfD5YomYnhEvavof6R,2015-02-24,Tinashe,0.807,0.53,Iggy Azalea,7,-4.236,97.007,5rX9fqEGsHnQeEEsc1Cc3J,All Hands On Deck REMIX,0.429
15,0.0272,Player,68spG6Jww5Ya5tp060NNyl,2015-10-02,Tinashe,0.721,0.69,Chris Brown,4,-5.93,106.042,6JdMhQybpCiM754NZDw2pm,Player,0.292
17,0.0577,Flame,1Pp4Zylfj1jfSbTAGlb68P,2017-03-16,Tinashe,0.631,0.845,No Feature,5,-3.143,81.995,4lH5AKFeldnkq8wRikIqWP,Flame,0.53
18,0.0307,Party Favors,6euw4OOlKt20SAPSz4xKhY,2015-09-18,Tinashe,0.654,0.492,Young Thug,8,-7.777,94.992,4XrKWBHDm587nYp6Io33oo,Party Favors,0.185
20,0.319,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.722,0.656,No Feature,1,-4.539,86.496,7rXfgg6jbK89XINlgcB8cu,Ooh La La,0.582
21,0.0148,Superlove,6hXXlsQi7USKqmeg8ytALG,2016-07-15,Tinashe,0.774,0.635,No Feature,5,-4.991,134.989,1uTXtV2r7DSRnMGKh3HxGi,Superlove,0.438
22,0.684,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.939,0.455,Little Dragon,11,-7.394,118.714,4uOopYeRmPFd3taXfzEGP5,Stuck With Me,0.458
23,0.302,Joyride,1GlhG2v3l6rqt2XvtEV04J,2018-04-13,Tinashe,0.764,0.671,Ty Dolla $ign,1,-4.509,99.946,57VUtsHvIKGbBlNmxfqDox,Me So Bad,0.704
24,0.133,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.72,0.408,No Feature,3,-7.669,130.259,4RSYgNxty83tnXcexSdgVA,Cold Sweat,0.289
25,0.0419,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.709,0.538,No Feature,5,-5.821,113.945,5mhIx9uFL53Jk8X8XfLG6F,Sacrifices,0.385
26,0.269,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.384,0.45,A$AP Rocky,6,-10.485,89.598,6phKkVuSzTNEriX3uciCb5,Pretend,0.0874
27,0.0517,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.663,0.623,No Feature,8,-5.935,124.99,5tnNHmykSmF7Nam6aenBVf,No Contest,0.277
28,0.63,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.903,0.378,No Feature,1,-7.05,119.994,0VHDCLayBQCtrFRLaaHJSi,Company,0.867
31,0.495,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.597,0.467,No Feature,5,-9.542,124.824,1JL5mxrlYVILxf8TmqRbMP,Lucid Dreaming,0.224
32,0.178,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.694,0.495,No Feature,1,-4.149,133.936,74RjqevhxutV5yZdE8bFX3,He Don't Want It,0.422
34,0.0875,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.66,0.409,No Feature,8,-8.8,95.05,5DwsWlLBqnnBo01TNYTw4G,Party Favors,0.14
35,0.00522,Ride Of Your Life,3BOwGjxvQVQzbSroN2sXW1,2016-03-09,Tinashe,0.713,0.428,No Feature,9,-9.843,86.485,2JTaZjHNULImGUfECwTELE,Ride Of Your Life,0.413
36,0.416,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.68,0.286,No Feature,7,-11.933,111.94,6fFZIv3BSiKjgqTisF2Mn7,C'est La Vie,0.339
37,0.00747,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.591,0.492,No Feature,11,-10.568,159.908,1y4qUmdo0DTgKC5OME5zie,Aquarius,0.209
38,0.194,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.653,0.569,No Feature,11,-7.024,129.989,0DqKMbPXhUIXcgDOVmohiM,Feels Like Vegas,0.402
39,0.629,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.42,0.883,No Feature,2,-4.967,146.885,6LrGc6oPYNMzmz8VOwyN6C,Joyride,0.231
40,0.883,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.339,0.413,No Feature,5,-4.983,146.254,7oh4w9MTAb25HD7Fo52mO8,Fires And Flames,0.391
42,0.00679,Throw A Fit,6MNDIO74gSWOLYsyWWL7ku,2018-07-26,Tinashe,0.876,0.622,No Feature,5,-6.748,150.048,3aau8PbMnxhnJVyCodCFw0,Throw A Fit,0.418
44,0.269,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.475,0.503,Devonte Hynes,11,-7.46,126.938,4teaV0vz7oCWYyPHLMKLfQ,Bet (feat. Devonté Hynes),0.0746
45,0.0212,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.458,0.387,No Feature,8,-7.827,149.903,0J6I0Zgrh5LkwgUx9zJ21h,Salt,0.13
46,0.0223,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.739,0.515,No Feature,0,-8.637,139.962,0YNnj5LVDkp3pU8uhP9Dt6,Ain't Good For Ya (Interlude),0.529
48,0.00521,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.732,0.457,No Feature,9,-8.769,86.517,6yNdtBYlKWugO7ageKahDK,Ride Of Your Life,0.41
49,0.00388,Flame (Kaskade Remix),19a2gZ9s4GQxMwI4N4GlFR,2017-05-19,Tinashe,0.414,0.72,Kaskade,2,-6.128,167.859,1ru4aAQK7UN0wK2JEjWMsm,Flame - Kaskade Remix,0.34
52,0.484,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.63,0.515,No Feature,8,-8.45,130.031,4EabiixKs1IXXRyFha7ODG,Soul Glitch,0.338
53,0.0116,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.632,0.456,Future,9,-7.98,154.601,4oOzx2fEmOpPWb9LK2ReX0,How Many Times,0.302
54,0.498,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.484,0.271,No Feature,1,-14.03,67.03,1hyeUTrRd000AXLPDxV4q2,Bated Breath,0.0634
55,0.191,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.558,0.657,No Feature,9,-9.032,90.043,5XZwplSafMqggyQQlNd0Se,Ghetto Boy,0.248
56,0.762,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.618,0.191,No Feature,5,-14.162,68.01,6tHKZ7lvyniN6ZBf1nrWHl,Sunburn,0.204
57,0.413,All Hands On Deck REMIX,2A2IpnvNG3DhVflX8BD32P,2015-06-05,Tinashe,0.827,0.528,DeJ Loaf,5,-4.18,97.007,13HaC6c7vib80liqQQLcQ0,All Hands On Deck REMIX,0.345
58,0.187,Watch Me Work,2wswSMHMIxt7p1FMvfRFbw,2014,Tinashe,0.584,0.629,No Feature,8,-6.696,200.04,0BKvzaT15jI9cez1BGf8kS,Watch Me Work,0.813
60,0.0531,Player,0NR7UM8Wg06VSCQrgjdtbI,2015-10-02,Tinashe,0.735,0.675,No Feature,4,-6.475,106.017,5LrnUYhDOn6eNoVE3TPZj0,Player,0.274
64,0.172,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.568,0.71,No Feature,7,-7.013,170.172,6EHszOA82EUuI3viOlIUDu,Wildfire,0.479
65,0.503,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.318,0.532,No Feature,8,-16.312,135.286,5abU03nmreuCt7QG0iCqBn,Keep Your Eyes On The Road (Intro),0.0626
66,0.988,Joyride,0u3rjsCgagcSxHoRtXMKQo,2018-04-13,Tinashe,0.296,0.026,No Feature,9,-26.608,98.958,1wcTYAqzjCqssBtpfyc1wZ,Go Easy On Me (Interlude),0.198
68,0.00332,All Hands On Deck (Giraffage Remix),6tYwzPFm9rmqQYTLQwfQTC,2015-05-04,Tinashe,0.813,0.592,Giraffage,3,-7.733,113.997,2fzly0v7ndY7NydVFBE2E0,All Hands On Deck - Giraffage Remix,0.606
69,0.467,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.395,0.465,No Feature,9,-11.812,106.902,3GqABK2SCNkdlp77zjR78A,Spacetime,0.391
70,0.0502,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.567,0.551,No Feature,8,-9.537,101.043,7nYw37hFYh1BufGA2HT0Ol,Touch Pass,0.279
71,0.134,Light The Night Up,5641wKL4sMIIb8Z9mQYFej,2017-09-28,Tinashe,0.702,0.806,No Feature,5,-4.601,125.074,1D0TnqoWuGN87kAwzWk9X9,Light The Night Up,0.754
72,0.449,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.61,0.751,No Feature,8,-6.784,83.03,4MlS9uLdQosggVJe91GJme,Far Side Of The Moon,0.768
73,0.138,Flame (Steve James Remix),5wfevG65FDgfa2pwPC4B7H,2017-06-30,Tinashe,0.643,0.646,Steve James,5,-7.155,88.866,4IhZN36ncIl66lToIQbqMI,Flame - Steve James Remix,0.531
74,0.55,Company,6G27V2iIdAYeDkRCPIpe7F,2016-09-16,Tinashe,0.897,0.516,No Feature,9,-4.979,119.96,1abw6hkfXvXBrmxCRpUE4F,Company,0.962
75,0.579,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.779,0.536,No Feature,11,-7.746,118.019,6EnRqDCy3my9C0HjJDUm94,You Don't Know Me,0.517
76,0.431,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.386,0.492,No Feature,6,-10.5,174.009,3d9Q5xaSpLR0x0NSAeRcUM,Indigo Child (Interlude),0.342
78,0.00909,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.465,0.503,No Feature,0,-5.716,173.935,3E3Wt98vDsBL652iQC8Ya9,Thug Cry,0.0898
79,0.98,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.279,0.00696,No Feature,0,-27.944,122.25,5Lp3yhnEHrcsE1BYiT06r8,What Is There To Lose (Interlude),0.0711
81,0.0654,Player (Jai Wolf Remix),6faidwPuf3t5ftnLM3zbh4,2015-12-29,Tinashe,0.582,0.872,No Feature,4,-0.936,106.038,0wbrvlS9RZ79iFdH88gXtK,Player - Jai Wolf Remix,0.196
84,0.0279,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.369,0.577,No Feature,9,-8.861,84.34,7xWtp4S1Y2fQp5pbRpuwsb,High Speed Chase,0.127
88,0.992,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.239,0.355,No Feature,0,-15.45,67.71,4XoCdr4ndhxaXYx7hXPow9,Deep In The Night (Interlude),0.767
92,0.194,Joyride,1GlhG2v3l6rqt2XvtEV04J,2018-04-13,Tinashe,0.749,0.651,Offset,7,-4.647,143.955,1VpXIn8Dokr8PwtSR1sJ5b,No Drama,0.434
93,0.938,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.214,0.157,No Feature,11,-35.19,88.316,7uwVSd76HcCBqRzIxDJYcf,The Storm (Outro),0.119
96,0.48,All Hands On Deck Remix,19Ca6MzHJkMzh6A630KK06,2015-02-24,Tinashe,0.808,0.526,Iggy Azalea,7,-4.222,96.996,5LrlJ9f0MGTEMGXd2ixapd,All Hands On Deck Remix,0.392
97,0.572,Like I Used To,6OHlkueffqMRtgVyUBaR7e,2018-07-12,Tinashe,0.712,0.586,No Feature,11,-6.178,159.85,0NdbuO76XZkFZFeag2RzBC,Like I Used To,0.379
98,0.321,Pretend Remix,6g7ZgCBvRAXwxj2H6qdub8,2014-12-03,Tinashe,0.442,0.454,Jeezy,6,-9.001,88.681,7twnPdy5aDHVnaluSswwgO,Pretend Remix,0.194
100,0.0102,Company (MUNA Remix),1ey0KnGHKibLFMikFUaBLY,2016-12-09,Tinashe,0.621,0.679,MUNA,1,-9.217,120.028,3JBpwwdOE8Oz1GPhIN38F6,Company - MUNA Remix,0.209
101,0.0654,Player (Remixes),5hvTahfMuPpksJfjULtwoQ,2016-02-05,Tinashe,0.582,0.872,Jai Wolf,4,-0.936,106.038,6kugAiBi0pt4KmV2ny636K,Player - Jai Wolf Remix,0.196
104,0.668,Joyride,1GlhG2v3l6rqt2XvtEV04J,2018-04-13,Tinashe,0.536,0.674,Future,5,-5.769,120.488,6mRRVtPPBHNaRwVx16u6VX,Faded Love,0.661
105,0.0334,The Hunger Games: Mockingjay Pt. 1 (Original Motion Picture Soundtrack),56bAWM3HFElgEjdnraBqvQ,2014-12-01,Tinashe,0.569,0.592,No Feature,9,-8.552,129.81,4flZkvdD7ivUmMq24nrDHQ,The Leap,0.0665
110,0.319,Joyride,1GlhG2v3l6rqt2XvtEV04J,2018-04-13,Tinashe,0.722,0.656,No Feature,1,-4.539,86.496,1gEpEvMtt3Zp1iNPRgpHFk,Ooh La La,0.582
111,0.684,Joyride,1GlhG2v3l6rqt2XvtEV04J,2018-04-13,Tinashe,0.939,0.455,Little Dragon,11,-7.394,118.714,5hBC2zniTK7BQ24Bn6RpTZ,Stuck With Me,0.458
113,0.036,Party Favors,3JeQagJGaCsz99IC7sLlp7,2015-09-18,Tinashe,0.649,0.487,Young Thug,8,-7.684,95.006,4igdD4euGLqgWHT0XmOE87,Party Favors,0.172
114,0.0112,Superlove,4FgKLcQHC4LxTWLL0R4bOt,2016-07-15,Tinashe,0.772,0.624,No Feature,5,-5.024,135.01,1pRoJqsXXqEAzdDUOOakt1,Superlove,0.448
116,0.154,Superlove (The Remixes),2xbXciaeKylZrFl26YglZV,2016-09-09,Tinashe,0.545,0.784,FTampa,5,-5.407,139.97,6ednU64Ls0iVT97s2fbNB1,Superlove - FTampa Remix,0.641
117,0.0341,Pretend (Dave Audé Remix),4OeeHMBa9t8QjEd1wPzU5R,2014-11-11,Tinashe,0.564,0.907,Dave Audé,6,-3.678,121.964,7eoSXGa1UzfOIEqA60Qm0D,Pretend - Dave Audé Remix,0.365
126,0.032,The Hunger Games: Mockingjay PT. 1 (Original Motion Picture Soundtrack),1K1uDn8Y3JPcz3oxJa0lHF,2014-12-18,Tinashe,0.565,0.593,No Feature,9,-8.582,129.704,3tdrWNTt49RQ6HDL360d7U,The Leap,0.0585
127,0.883,Joyride,1GlhG2v3l6rqt2XvtEV04J,2018-04-13,Tinashe,0.339,0.413,No Feature,5,-4.983,146.254,6nP5GPHQ4Obah6BVblAPjg,Fires And Flames,0.391
128,0.00187,Player (Remixes),5hvTahfMuPpksJfjULtwoQ,2016-02-05,Tinashe,0.731,0.891,Niko The Kid,0,-2.351,124.01,3CNxqYYaASuCrF1sfHgttI,Player - Niko The Kid Remix,0.332
129,0.0037,Superlove (The Remixes),2xbXciaeKylZrFl26YglZV,2016-09-09,Tinashe,0.668,0.623,The Golden Pony,5,-7.875,91.114,6YA0PjO8ZKUi3YqaHc7hiO,Superlove - The Golden Pony Remix,0.519
131,0.17,Joyride,1GlhG2v3l6rqt2XvtEV04J,2018-04-13,Tinashe,0.706,0.499,No Feature,1,-4.202,133.997,5KxjYOAjg9iQP0MI9ns0nG,He Don't Want It,0.377
132,0.0316,Player,3HoZchoEQGWv0Dw7pRzeX8,2015-10-02,Tinashe,0.716,0.705,Chris Brown,7,-5.858,106.019,0HvLw4h1GK478vhA0StKJl,Player,0.324
133,0.12,Player (Remixes),5hvTahfMuPpksJfjULtwoQ,2016-02-05,Tinashe,0.672,0.84,Young Bombs,4,-4.681,135.045,23rEkkvFRo0MkBSBObNA8G,Player - Young Bombs Remix,0.528
135,0.0528,Superlove (The Remixes),2xbXciaeKylZrFl26YglZV,2016-09-09,Tinashe,0.644,0.661,Frank Pole,8,-4.654,125.974,2pKiDIuMiCyuKWbaYWR09V,Superlove - Frank Pole Remix,0.229
158,0.00483,Superlove (The Remixes),2xbXciaeKylZrFl26YglZV,2016-09-09,Tinashe,0.663,0.846,Shift K3Y,5,-5.793,127.969,2UkoUva89KH9DLkE8Kui1j,Superlove - Shift K3Y Remix,0.718
159,0.0427,Superlove (The Remixes),2xbXciaeKylZrFl26YglZV,2016-09-09,Tinashe,0.643,0.833,Cutmore,5,-7.677,126.955,0fD0VxNF3tpJOTflGrSVZj,Superlove - Cutmore Remix,0.715
160,0.0511,Joyride,1GlhG2v3l6rqt2XvtEV04J,2018-04-13,Tinashe,0.633,0.614,No Feature,8,-5.946,124.951,7GCvhodoTvelhBmVsHKzWd,No Contest,0.229
161,0.625,Joyride,1GlhG2v3l6rqt2XvtEV04J,2018-04-13,Tinashe,0.42,0.884,No Feature,2,-4.97,146.899,4FUJZ8OkIYdl4rv5WdXzAt,Joyride,0.245
163,0.0505,Player,3LOna8tuBmMWmLgQCaqsTu,2015-10-02,Tinashe,0.735,0.685,No Feature,4,-6.419,106.004,2NBAaXyDsEZ4Lwp52dwlmP,Player,0.322
165,0.172,Watch Me Work,5SmJc1zePS0nvYs6FcjSoy,2014,Tinashe,0.586,0.625,No Feature,8,-6.733,199.951,1aBu3ahrVEZmMjOiR2uKhs,Watch Me Work,0.837
166,0.00571,Ride Of Your Life,4Rjfu3ooPPlvwiyiV2x5Gd,2016-03-09,Tinashe,0.726,0.425,No Feature,9,-9.846,86.516,5nDNLF7v56bHdG7ySaPmwk,Ride Of Your Life,0.471
167,0.0228,Joyride,1GlhG2v3l6rqt2XvtEV04J,2018-04-13,Tinashe,0.741,0.532,No Feature,0,-8.64,139.943,6JlPB6CMM3eTbVJQVhqkK6,Ain't Good For Ya (Interlude),0.515
169,0.0258,Player (Remixes),5hvTahfMuPpksJfjULtwoQ,2016-02-05,Tinashe,0.602,0.711,Luca Lush,4,-6.061,99.991,7DLEmExvs4lZCPOyhHHvQz,Player - Luca Lush Remix,0.101
174,0.000542,Player (Remixes),5hvTahfMuPpksJfjULtwoQ,2016-02-05,Tinashe,0.694,0.818,Cutmore,11,-4.928,125.013,5DL2dqf6PK5o2AV6tyTHoG,Player - Cutmore Club Mix,0.657
175,0.000603,San City High All Stars,5DbdAfemcdVxX8Mb9wFcwi,2012,Tinashe,0.795,0.754,Kissy Sell Out,0,-8.074,128.018,6spZeCfeyxSlKWi3Wwvxqu,Come On Over - Keith Remix,0.435
176,0.0211,Joyride,1GlhG2v3l6rqt2XvtEV04J,2018-04-13,Tinashe,0.446,0.382,No Feature,8,-7.847,149.925,2MNqeiT2Pi3jRWvAKl6KQj,Salt,0.139
177,0.000373,Superlove (The Remixes),2xbXciaeKylZrFl26YglZV,2016-09-09,Tinashe,0.683,0.844,Mark Picchiotti,10,-4.764,124.996,1M0JHTbUtkenzavqVQQTRr,Superlove - Mark Picchiotti Remix,0.818
178,0.409,All Hands On Deck REMIX,2eLpqP1R1zZ3UHF96R9Vfw,2015-06-08,Tinashe,0.827,0.524,DeJ Loaf,5,-4.182,96.991,0GaqjRhUgEYPGGqRsQqXlb,All Hands On Deck REMIX,0.355
180,0.0577,The RCA-List (Vol. 6),7p72D0X2mvTqwUpqSIVDal,2017-05-26,Tinashe,0.631,0.845,No Feature,5,-3.143,81.995,4ff8AopG7Y9RnMIlog9wXq,Flame,0.53
181,0.00431,Player (Remixes),5hvTahfMuPpksJfjULtwoQ,2016-02-05,Tinashe,0.734,0.695,DE$IGNATED,7,-8.434,119.981,6Y18DDGBxV7reFORSvn4SZ,Player - De$ignated Club Mix,0.654
182,0.544,Joyride,1GlhG2v3l6rqt2XvtEV04J,2018-04-13,Tinashe,0.279,0.536,No Feature,8,-16.504,87.595,6zeiIFDoPLAyiDyv60jDJ1,Keep Your Eyes On The Road (Intro),0.0501
184,0.988,Joyride,1GlhG2v3l6rqt2XvtEV04J,2018-04-13,Tinashe,0.296,0.026,No Feature,9,-26.608,98.958,59c2SQ2hE8x2JQrrEZs6c6,Go Easy On Me (Interlude),0.198
187,0.0392,Pretend (Dave Audé Remix),664Uy47Y81R4lsmxDki4W6,2014-11-11,Tinashe,0.592,0.907,Dave Audé,6,-3.614,121.999,5aWFBRvHBl5u3O2kAaVSsD,Pretend - Dave Audé Remix,0.368
188,0.343,Pretend Remix,0iTb8gyalLnQpsKUCzj0HC,2014-12-03,Tinashe,0.552,0.449,Jeezy,6,-9.092,89.025,6gdtZvn3SAWiSWRQN4w8yG,Pretend Remix,0.184
220,0.544,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.0,0.694,No Feature,6,-19.274,0.0,100E1H4muHUd6qWOCe0g7M,Nightfall (Interlude),0.0
221,0.81,Aquarius,6zXUDBGLbrB9Kgkw2Y3F7L,2014-10-01,Tinashe,0.24,0.517,No Feature,4,-23.653,78.829,3HaguZbnnxwjM2DCGB081u,The Calm (Interlude),0.0372
222,0.267,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.0,0.341,No Feature,4,-29.889,0.0,48pvGdBgvmhb8Xdeq1wyRv,You Can Stay Here Tonight,0.0
223,0.936,Nightride,4oUQWJAcEtTuhYFR9AGfaC,2016-11-04,Tinashe,0.0,0.00148,No Feature,4,-22.96,0.0,0qJ0lqsb6rTH3jelcLmmff,Binaural Test,0.0
